-0.10472	-0.0118335	-0.811058	0.0961077	-0.00265139	-0.813428
-0.104798	-0.0117838	-0.810984	0.0960314	-0.00262504	-0.813455
-0.104834	-0.0117877	-0.810913	0.0959951	-0.00267351	-0.813479
-0.104925	-0.0116935	-0.810834	0.0959011	-0.00261209	-0.813509
-0.104971	-0.0116669	-0.810758	0.0958506	-0.00262516	-0.813535
-0.104987	-0.0116916	-0.810682	0.0958301	-0.00269788	-0.813558
-0.105059	-0.0116118	-0.810596	0.0957579	-0.00267342	-0.813587
-0.105096	-0.0115818	-0.810509	0.0957201	-0.00270328	-0.813612
-0.105181	-0.0114665	-0.810411	0.0956327	-0.00264605	-0.813644
-0.105229	-0.011406	-0.81031	0.0955827	-0.00265091	-0.813671
-0.105251	-0.0113805	-0.810203	0.0955576	-0.00270569	-0.813695
-0.105323	-0.011266	-0.810082	0.0954893	-0.00267924	-0.813724
-0.105365	-0.011185	-0.809953	0.0954442	-0.00269706	-0.81375
-0.105444	-0.0110361	-0.809808	0.0953683	-0.00265422	-0.813781
-0.105493	-0.0109105	-0.809652	0.0953171	-0.00265663	-0.813808
-0.105524	-0.0108025	-0.809484	0.0952862	-0.00269059	-0.813833
-0.105592	-0.0106253	-0.809298	0.0952198	-0.00267127	-0.813861
-0.105638	-0.0104557	-0.809099	0.0951765	-0.00268729	-0.813888
-0.10571	-0.0102296	-0.808881	0.0951089	-0.00265667	-0.813917
-0.105765	-0.0100079	-0.808648	0.0950545	-0.00266539	-0.813943
-0.105807	-0.00979047	-0.8084	0.095016	-0.0026893	-0.813969
-0.105868	-0.00951644	-0.808131	0.094956	-0.0026869	-0.813996
-0.105921	-0.00923379	-0.807844	0.0949082	-0.00269863	-0.814022
-0.105985	-0.00891491	-0.807535	0.0948459	-0.00268613	-0.814048
-0.106041	-0.00858611	-0.807206	0.0947908	-0.00269586	-0.814073
-0.106095	-0.00824533	-0.806856	0.0947419	-0.00271659	-0.814098
-0.106152	-0.00785943	-0.806483	0.094689	-0.00272471	-0.814123
-0.106208	-0.00746041	-0.806087	0.0946367	-0.00273827	-0.814148
-0.106267	-0.00703115	-0.805668	0.0945865	-0.00274425	-0.814172
-0.10633	-0.00658747	-0.805225	0.0945314	-0.00276176	-0.814196
-0.106391	-0.00612868	-0.804758	0.0944772	-0.00278972	-0.81422
-0.10645	-0.00564483	-0.804268	0.0944303	-0.00281123	-0.814242
-0.106513	-0.00514973	-0.803753	0.0943725	-0.00284039	-0.814265
-0.106565	-0.00463364	-0.803217	0.0943318	-0.00286471	-0.814287
-0.106628	-0.0041014	-0.802655	0.0942794	-0.00288877	-0.81431
-0.1067	-0.00355544	-0.802069	0.0942174	-0.00292332	-0.814334
-0.106751	-0.00299449	-0.801464	0.0941715	-0.00295328	-0.814356
-0.106818	-0.00242627	-0.800834	0.0941151	-0.00298469	-0.81438
-0.106857	-0.0018364	-0.800186	0.0940815	-0.00301546	-0.814401
-0.106915	-0.0012376	-0.799515	0.0940298	-0.00305403	-0.814426
-0.106989	-0.000646374	-0.798822	0.0939634	-0.00309433	-0.814452
-0.107036	-3.26346e-05	-0.798114	0.0939297	-0.00312254	-0.814476
-0.1071	0.000585541	-0.797385	0.0938725	-0.00316308	-0.814503
-0.107134	0.0012205	-0.796643	0.0938473	-0.00318908	-0.814528
-0.107187	0.00184882	-0.795881	0.0937968	-0.00322521	-0.814556
-0.107261	0.00246772	-0.795101	0.0937264	-0.00327841	-0.814587
-0.107298	0.00311401	-0.794311	0.0936962	-0.0033081	-0.814616
-0.107358	0.00374169	-0.793505	0.0936421	-0.00335051	-0.814648
-0.107378	0.00440188	-0.792691	0.0936243	-0.00337545	-0.814676
-0.107425	0.00503915	-0.791862	0.0935801	-0.0034095	-0.814708
-0.107499	0.00566172	-0.79102	0.0935098	-0.00346552	-0.814743
-0.107526	0.00631391	-0.790175	0.093483	-0.00348734	-0.814774
-0.107578	0.00694469	-0.789317	0.0934315	-0.00352563	-0.814809
-0.10759	0.00761074	-0.788457	0.0934231	-0.00353458	-0.814839
-0.107631	0.00824926	-0.787588	0.093381	-0.00356795	-0.814873
-0.107693	0.00886032	-0.78671	0.0933121	-0.00361765	-0.81491
-0.107711	0.00951221	-0.785834	0.0932922	-0.00362627	-0.814941
-0.107755	0.010134	-0.78495	0.0932409	-0.00365323	-0.814975
-0.107751	0.0107928	-0.784071	0.0932364	-0.00365196	-0.815004
-0.107784	0.0114146	-0.783186	0.0931978	-0.00367812	-0.815037
-0.107839	0.0120102	-0.782298	0.0931316	-0.003716	-0.815072
-0.107843	0.0126459	-0.781417	0.0931162	-0.00372061	-0.815101
-0.107876	0.0132494	-0.780534	0.0930685	-0.00374697	-0.815134
-0.107867	0.013887	-0.77966	0.0930635	-0.00373512	-0.81516
-0.107888	0.0144977	-0.778785	0.0930242	-0.00374868	-0.815191
-0.107935	0.0150767	-0.777911	0.0929574	-0.00378513	-0.815223
-0.107931	0.0156858	-0.777049	0.0929422	-0.00377774	-0.81525
-0.107957	0.0162685	-0.77619	0.0928946	-0.00379611	-0.81528
-0.107936	0.0168697	-0.775343	0.0928944	-0.00377704	-0.815305
-0.107949	0.0174501	-0.7745	0.0928589	-0.00378391	-0.815333
-0.107983	0.0180024	-0.773663	0.0928001	-0.00380875	-0.815366
-0.107969	0.018575	-0.772842	0.0927901	-0.00380114	-0.815392
-0.107987	0.0191192	-0.772028	0.0927468	-0.00381379	-0.815422
-0.107956	0.0196913	-0.77123	0.0927477	-0.003801	-0.815447
